t,x1,x2,x3
0.0,0.1,0.1,0.1
0.001000100010001,0.10014102909541134,0.10188019635019108,0.10065958136744402
0.002000200020002,0.10028208793508596,0.10376020937142166,0.10131997443082051
0.003000300030003,0.10042317610263458,0.10564003898543049,0.1019811749909505
0.004000400040004,0.10056429318101946,0.10751968511447337,0.10264317884536141
0.005000500050005001,0.10070543875255629,0.10939914768132449,0.10330598178832069
0.006000600060006,0.10084661239891618,0.11127842660927773,0.1039695796108694
0.0070007000700070005,0.10098781370112762,0.113157521822148,0.10463396810085582
0.008000800080008,0.10112904223957843,0.1150364332442725,0.105299143042969
0.009000900090009001,0.1012702975940177,0.11691516080051204,0.10596510021877237
0.010001000100010001,0.10141157934355781,0.11879370441625231,0.1066318354067373
0.011001100110011002,0.10155288706667635,0.12067206401740525,0.10729934438227672
0.012001200120012,0.10169422034121818,0.1225502395304103,0.10796762291777864
0.013001300130013,0.10183557874439736,0.12442823088223567,0.10863666678263978
0.014001400140014001,0.10197696185279918,0.12630603800037968,0.10930647174329909
0.015001500150015001,0.10211836924238218,0.12818366081287205,0.10997703356327135
0.016001600160016,0.10225980048848013,0.13006109924827516,0.11064834800318069
0.017001700170017002,0.10240125516580406,0.1319383532356854,0.11132041082079418
0.018001800180018002,0.10254273284844431,0.13381542270473434,0.11199321777105539
0.019001900190019003,0.10268423310987254,0.13569230758559017,0.11266676460611791
0.020002000200020003,0.10282575552294378,0.13756900780895887,0.11334104707537887
0.021002100210021003,0.10296729965989847,0.13944552330608553,0.11401606092551254
0.022002200220022004,0.10310886509236454,0.1413218540087557,0.11469180190050383
0.023002300230023004,0.10325045139135944,0.14319799984929651,0.1153682657416818
0.024002400240024,0.1033920581272922,0.14507396076057813,0.11604544818775317
0.025002500250025,0.10353368486996554,0.14694973667601488,0.1167233449748359
0.026002600260026,0.10367533118857794,0.14882532752956665,0.11740195183649263
0.027002700270027002,0.1038169966517257,0.1507007332557401,0.1180812645037642
0.028002800280028002,0.10395868082740505,0.1525759537895899,0.11876127870520316
0.029002900290029002,0.10410038328301427,0.1544509890667201,0.11944199016690722
0.030003000300030003,0.10424210358535577,0.15632583902328534,0.1201233946125528
0.031003100310031003,0.10438384130063819,0.15820050359599203,0.1208054877634284
0.032003200320032,0.10452559599447857,0.1600749827220998,0.12148826533846818
0.033003300330033,0.10466736723190444,0.1619492763394226,0.12217172305428534
0.034003400340034004,0.10480915457735593,0.1638233843863301,0.12285585662520555
0.035003500350035,0.10495095759468798,0.16569730680174877,0.1235406617633005
0.036003600360036005,0.10509277584717241,0.16757104352516333,0.12422613417842121
0.037003700370037,0.10523460889750012,0.1694445944966179,0.12491226957823154
0.038003800380038005,0.10537645630778322,0.17131795965671723,0.12559906366824156
0.039003900390039,0.10551831763955721,0.17319113894662808,0.12628651215184095
0.040004000400040006,0.10566019245378315,0.17506413230808027,0.12697461073033245
0.041004100410041,0.10580208031084982,0.17693693968336813,0.1276633551029652
0.04200420042004201,0.10594398077057594,0.17880956101535164,0.12835274096696817
0.043004300430043,0.1060858933922123,0.18068199624745765,0.1290427640175834
0.04400440044004401,0.10622781773444402,0.18255424532368122,0.1297334199480996
0.045004500450045004,0.10636975335539271,0.18442630818858677,0.13042470444988516
0.04600460046004601,0.1065116998126187,0.18629818478730936,0.13111661321242185
0.047004700470047005,0.10665365666312322,0.18816987506555594,0.13180914192333787
0.048004800480048,0.10679562346335068,0.19004137896960652,0.13250228626844132
0.049004900490049005,0.10693759976919084,0.19191269644631548,0.13319604193175344
0.05000500050005,0.10707958513598108,0.19378382744311273,0.1338904045955419
0.051005100510051006,0.10722157911850862,0.19565477190800504,0.13458536994035417
0.052005200520052,0.10736358127101275,0.19752552978957713,0.13528093364505064
0.05300530053005301,0.10750559114718714,0.19939610103699298,0.13597709138683803
0.054005400540054004,0.10764760830018201,0.20126648559999705,0.13667383884130255
0.05500550055005501,0.10778963228260648,0.20313668342891544,0.13737117168244314
0.056005600560056004,0.10793166264653078,0.20500669447465722,0.13806908558270475
0.05700570057005701,0.10807369894348857,0.20687651868871554,0.13876757621301147
0.058005800580058005,0.10821574072447919,0.20874615602316884,0.1394666392427998
0.05900590059005901,0.10835778753996993,0.21061560643068217,0.14016627034005183
0.060006000600060005,0.10849983893989838,0.21248486986450826,0.1408664651713283
0.06100610061006101,0.10864189447367469,0.21435394627848886,0.14156721940180195
0.062006200620062006,0.10878395369018387,0.21622283562705583,0.14226852869529044
0.063006300630063,0.10892601613778814,0.2180915378652324,0.14297038871428971
0.064006400640064,0.10906808136432922,0.21996005294863433,0.14367279512000694
0.06500650065006501,0.10921014891713061,0.2218283808334712,0.14437574357239372
0.066006600660066,0.10935221834300003,0.22369652147654748,0.14507922973017906
0.067006700670067,0.10949428918823166,0.22556447483526382,0.1457832492509026
0.06800680068006801,0.1096363609986085,0.22743224086761818,0.1464877977909476
0.06900690069006901,0.10977843331940475,0.22929981953220707,0.1471928710055739
0.07000700070007,0.1099205056953881,0.23116721078822666,0.14789846454895111
0.071007100710071,0.11006257767082217,0.23303441459547405,0.1486045740741915
0.07200720072007201,0.11020464878946881,0.2349014309143484,0.14931119523338304
0.07300730073007301,0.1103467185945905,0.23676825970585208,0.15001832367762244
0.074007400740074,0.1104887866289527,0.23863490093159193,0.15072595505704803
0.075007500750075,0.11063085243482626,0.24050135455378036,0.15143408502087272
0.07600760076007601,0.11077291555398978,0.24236762053523656,0.15214270921741704
0.07700770077007701,0.11091497552773202,0.24423369883938764,0.15285182329414193
